Sector económico,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Agricultura, ganadería, silvicultura y pesca     ",ND,2.78,7.11,-0.19,-5.32,5.01,-4.18,4.36,-7.2,0.87,-5.5,8.36,0.66,-2.72,1.04,-4.37,3.19,-0.71,-0.57,0.95
Explotación de minas y canteras     ,ND,-2.14,3.8,-11.8,-17.46,-4.43,18.21,-7.05,8.3,-4.24,-5.38,3.89,1.25,5.44,4.85,-10.33,4.6,2.16,3.01,-2.35
Industrias manufactureras     ,ND,2.89,2.11,5.41,-4.14,1.88,4.17,1.5,0.79,2.52,3.05,1.31,1.27,0.48,1.95,-14.15,11.74,-3.04,-3.98,-0.24
"Suministro de electricidad, gas, vapor y aire acondicionado     ",ND,12.97,1.51,13.28,-10.05,4.07,5.2,0.31,-3.86,6.95,-0.26,0.37,0.62,-3.59,9.08,12.94,3.33,6.26,10.88,0.9
"Suministro de agua, alcantarillados y gestión de desechos     ",ND,-1.11,14.61,-3.67,-2.45,-3.04,7.19,8.33,4.79,-10.56,-4.46,-6.73,6.69,1.57,0.47,3.29,13.87,3.06,0.49,2.92
Construcción     ,ND,6.64,2,3.67,-8.96,6.37,13.4,4.41,3.22,-1.53,-0.5,2.87,5.58,7.12,9.3,-17.81,6.63,12.57,18.19,1.06
"Comercio, reparación de vehículos automotores y motocicletas     ",ND,4.71,-0.12,-6.52,3.35,-0.17,0.79,5.93,6.31,3.98,0.98,0.19,1.53,4.21,2.48,-13.37,18.84,1.04,1.62,2.59
Transporte y almacenamiento     ,ND,2.94,0.43,-1.98,-10.51,3.86,7.1,2.77,6.12,-7.06,13.26,11.06,2.83,-2.67,4.66,-13.52,18.86,3.54,1.67,2.66
Actividades de alojamiento y de servicio de comidas     ,ND,0.98,4.62,5.16,-6.85,5.52,7.8,5.68,4.2,2.74,1.01,5.03,1.36,6.24,2.77,-18.89,21.55,5.15,1.99,6.38
Información y comunicaciones     ,ND,0.46,6.33,-1.51,-4.33,5.83,4.98,-5.6,-0.91,-0.51,2.66,4.64,0.29,5.87,1.22,-3.21,15.04,3.17,4.37,-1.13
 Actividades financieras y de seguros     ,ND,11.81,2.69,0.23,1.56,2.99,-0.82,-3.26,2.76,4.54,4.68,2.85,4.48,5.02,4.12,7.32,6.8,3.02,7.8,8.37
Actividades inmobiliarias     ,ND,2.31,2.57,1.77,-2.22,-4.25,-1.6,5.1,2.42,3.48,3.55,5.03,0.75,2.47,2.15,-5.93,-1.62,3.5,1.36,0.82
"Actividades profesionales, científicas y técnicas     ",ND,0.11,-1.75,2.84,2.63,1.22,7.89,3.71,-8.11,5.06,-7.37,2.38,3.08,2.46,-2.22,-10.1,14.01,18.15,12.3,-5.28
Actividades de servicios administrativos y de apoyo     ,ND,4.31,7.21,8.39,1.76,10.63,12.08,13.9,9.03,4.39,4.57,3.19,4.25,9.17,2.89,-5.23,17.87,15.27,6.12,2.63
"Administración pública y defensa, planes de seguridad social y de afiliación obligatoria     ",ND,7.35,12.79,3.91,-1.27,5.03,8.64,0.32,3.12,-2.91,4.71,0.33,1.35,1.14,-0.45,2.5,1.91,2.62,3.7,2.35
Enseñanza     ,ND,1.88,-10.33,1.95,1.02,-0.57,10.7,12.03,-3.05,-2.47,-0.96,2.33,0.85,3.42,-0.11,-4.41,6.81,0.62,0.57,-0.94
Actividades de atención de la salud humana y de asistencia social     ,ND,3.89,-19.87,1.85,0.97,-2.16,6.17,4.51,9.61,-0.56,4.2,2.66,2.51,1.18,1.83,-5.02,17.99,12.65,2.46,0.55
"Actividades Artísticas, de entretenimiento y recreativas     ",ND,1.62,10.9,-1.41,2.58,13.21,13.65,-8.26,-1.06,-1.11,8.97,0.79,2.48,8.68,0.69,-40.18,47.79,13.45,5.44,4.96
Otras actividades de servicios     ,ND,1.81,3.66,-3.34,3.92,0.26,-2.3,0.41,-2.5,6.55,1.77,0.81,4.94,0.37,2.63,-18.93,20.11,6.08,75.38,1.66
Actividades de los hogares como empleadores,ND,0.95,-5.06,-0.63,3.3,-10.59,2.13,8.82,3.93,6.81,5.93,2.48,2,0.94,0.19,-21.91,5.62,2.92,-100,N/A
Valor Agregado Bruto     ,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Más     ,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Impuestos netos de subvenciones     ,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Producto Interno Bruto por enfoque de la producción     ,ND,4.34,1.86,2.13,-2.08,2.11,3.81,2.81,2.24,1.71,2.4,2.54,2.25,2.41,2.44,-7.89,11.91,2.95,3.54,2.61
